@relation spam
@attribute word_freq_make real [0.0, 4.54]
@attribute word_freq_address real [0.0, 14.28]
@attribute word_freq_all real [0.0, 5.1]
@attribute word_freq_3d real [0.0, 42.81]
@attribute word_freq_our real [0.0, 10.0]
@attribute word_freq_over real [0.0, 5.88]
@attribute word_freq_remove real [0.0, 7.27]
@attribute word_freq_internet real [0.0, 11.11]
@attribute word_freq_order real [0.0, 3.23]
@attribute word_freq_mail real [0.0, 18.18]
@attribute word_freq_receive real [0.0, 2.61]
@attribute word_freq_will real [0.0, 9.67]
@attribute word_freq_people real [0.0, 5.55]
@attribute word_freq_report real [0.0, 10.0]
@attribute word_freq_addresses real [0.0, 4.41]
@attribute word_freq_free real [0.0, 20.0]
@attribute word_freq_business real [0.0, 7.14]
@attribute word_freq_email real [0.0, 9.09]
@attribute word_freq_you real [0.0, 18.75]
@attribute word_freq_credit real [0.0, 6.25]
@attribute word_freq_your real [0.0, 11.11]
@attribute word_freq_font real [0.0, 17.1]
@attribute word_freq_000 real [0.0, 5.45]
@attribute word_freq_money real [0.0, 12.5]
@attribute word_freq_hp real [0.0, 20.83]
@attribute word_freq_hpl real [0.0, 16.66]
@attribute word_freq_george real [0.0, 33.33]
@attribute word_freq_650 real [0.0, 9.09]
@attribute word_freq_lab real [0.0, 14.28]
@attribute word_freq_labs real [0.0, 4.76]
@attribute word_freq_telnet real [0.0, 12.5]
@attribute word_freq_857 real [0.0, 4.76]
@attribute word_freq_data real [0.0, 18.18]
@attribute word_freq_415 real [0.0, 4.76]
@attribute word_freq_85 real [0.0, 20.0]
@attribute word_freq_technology real [0.0, 4.76]
@attribute word_freq_1999 real [0.0, 6.89]
@attribute word_freq_parts real [0.0, 8.33]
@attribute word_freq_pm real [0.0, 9.75]
@attribute word_freq_direct real [0.0, 4.76]
@attribute word_freq_cs real [0.0, 7.14]
@attribute word_freq_meeting real [0.0, 14.28]
@attribute word_freq_original real [0.0, 3.57]
@attribute word_freq_project real [0.0, 20.0]
@attribute word_freq_re real [0.0, 21.42]
@attribute word_freq_edu real [0.0, 22.05]
@attribute word_freq_table real [0.0, 1.91]
@attribute word_freq_conference real [0.0, 10.0]
@attribute char_freq_; real [0.0, 4.385]
@attribute char_freq_( real [0.0, 9.752]
@attribute char_freq_[ real [0.0, 4.081]
@attribute char_freq_! real [0.0, 32.478]
@attribute char_freq_$ real [0.0, 6.002999999999999]
@attribute char_freq_# real [0.0, 13.129]
@attribute capital_run_length_average integer [1.0, 1102.5]
@attribute capital_run_length_longest integer [1, 9989]
@attribute capital_run_length_total integer [1, 15841]
@attribute Id integer [0, 4600]
@attribute ham {1, 0}
@inputs word_freq_make, word_freq_address, word_freq_all, word_freq_3d, word_freq_our, word_freq_over, word_freq_remove, word_freq_internet, word_freq_order, word_freq_mail, word_freq_receive, word_freq_will, word_freq_people, word_freq_report, word_freq_addresses, word_freq_free, word_freq_business, word_freq_email, word_freq_you, word_freq_credit, word_freq_your, word_freq_font, word_freq_000, word_freq_money, word_freq_hp, word_freq_hpl, word_freq_george, word_freq_650, word_freq_lab, word_freq_labs, word_freq_telnet, word_freq_857, word_freq_data, word_freq_415, word_freq_85, word_freq_technology, word_freq_1999, word_freq_parts, word_freq_pm, word_freq_direct, word_freq_cs, word_freq_meeting, word_freq_original, word_freq_project, word_freq_re, word_freq_edu, word_freq_table, word_freq_conference, char_freq_;, char_freq_(, char_freq_[, char_freq_!, char_freq_$, char_freq_#, capital_run_length_average, capital_run_length_longest, capital_run_length_total, Id
@outputs ham
@data
0.0, 14.28, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.8, 5, 9, 1947, 1
0.0, 0.0, 1.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 2.5, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.35700000000000004, 0.0, 0.892, 0.0, 0.0, 2.0, 19, 172, 2159, 0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.29, 0.0, 0.43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43, 0.0, 1.73, 0.43, 0.0, 0.43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.124, 0.0, 0.31, 0.062, 0.0, 1.4769999999999999, 8, 65, 4223, 0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7, 0.0, 2.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.444, 0.0, 0.0, 2.8, 7, 28, 2624, 1
0.0, 0.0, 0.0, 0.0, 1.17, 0.0, 0.0, 0.0, 0.0, 1.17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.35, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.17, 1.17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.551, 10, 45, 2743, 1
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022000000000000002, 0.022000000000000002, 0.019, 0.022000000000000002, 0.022000000000000002, 0.022000000000000002, 3.4819999999999998, 5, 5902, 3451, 1
0.0, 0.0, 0.37, 0.0, 0.0, 0.0, 0.37, 0.0, 0.0, 0.0, 0.0, 0.37, 0.0, 0.0, 0.0, 0.74, 0.37, 0.37, 0.74, 0.37, 0.37, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37, 0.0, 0.0, 0.302, 0.0, 0.24100000000000002, 0.06, 0.0, 2.166, 18, 143, 464, 0
0.0, 3.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.03, 0.0, 0.0, 0.0, 0.0, 0.0, 3.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.7689999999999997, 21, 36, 3219, 1
0.09, 0.0, 0.48, 0.0, 0.0, 0.29, 0.0, 0.0, 0.0, 0.09, 0.0, 0.0, 0.19, 0.0, 0.0, 0.09, 0.19, 0.58, 1.35, 0.0, 0.38, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38, 3.1, 0.0, 0.0, 0.015, 0.03, 0.0, 0.0, 0.046, 0.0, 1.722, 17, 267, 3007, 1
0.0, 0.0, 0.66, 0.0, 0.0, 0.66, 0.0, 0.0, 0.0, 0.0, 0.0, 0.66, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.66, 0.0, 0.66, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33, 0.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1420000000000001, 4, 56, 1549, 1
